"Name_of_Satellite,_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator_Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_(degrees)	Perigee_(km)	Apogee_(km)	Eccentricity	Inclination_(degrees)	Period_(minutes)	Launch_Mass_(kg.)	Dry_Mass_(kg.)	Power_(watts)	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
"AMC-11_(Americom-11,_GE_11)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-130.93	"35,774"	"35,797"	2.73E-04	0.04	1436.07	"2,340"	"2,316_(BOL)"	"6,500_(EOL)"	2004/5/19	15_yrs.	Lockheed_Martin	USA	Cape_Canaveral	Atlas_2AS	2004-017A	28252	24_C-band_transponders.		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html	http://www.ses-americom.com/satellites/amc-10-11.html	http://www.spaceref.com/news/viewpr.html?pid=14268	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lib.cas.cz/www/space.40/2004/017A.HTM	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																											
AMC-15_(Americom-15)	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-105.04	"35,777"	"35,795"	2.13E-04	0.04	1436.08	"4,200"			2004/10/14	15_yrs.	Lockheed_Martin	USA	Baikonur_Cosmodrome	Proton_M	2004-041A	28446	"Hybrid_Ku-Ka-band_satellite;_CONUS,_Alaska,_Hawaii."		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx612.html	http://www.ses-americom.com/satellites/amc-15.html	http://www.lib.cas.cz/www/space.40/2004/041A.HTM	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																												
AMC-16_(Americom-16)	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-84.98	"35,780"	"35,793"	1.54E-04	0.02	1436.1	"4,312"			2004/12/17	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Cape_Canaveral	Atlas_5	2004-048A	28472	"Hybrid_Ku-Ka-band_satellite;_CONUS,_Alaska,_Hawaii."		JM/12_08	http://www.lib.cas.cz/www/space.40/2004/048A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html	http://www.ses-americom.com/satellites/amc-16.html	http://www.rednova.com/news/display/?id=112116	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																												
AMC-18_(Americom_18)	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-104.97	"35,773"	"35,800"	3.20E-04	0.06	1436.1	"2,081"	918		2006/12/8	15_yrs.	Lockheed_Martin_Missiles_and_Space	USA	Guiana_Space_Center	Ariane_5	2006-054B	29644	All_c-band_transponders_for_North_American_coverage.		JM/12_08	http://www.ses-americom.com/americom/siteSections/pressroom/12_08_06.php	http://www.lib.cas.cz/www/space.40/INDEX1.HTM	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
"AMC-2_(Americom_2,_GE-2)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-100.98	"35,774"	"35,798"	2.85E-04	0.05	1436.1	"2,648"	"1,600"	"6,500_(EOL)"	1997/1/30	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Guiana_Space_Center	Ariane_44L	1997-002A	24713	"Broadcasting,_business,_cable;_CONUS,_Hawaii,_Caribbean,_southern_Canada;_24_Ku-_and_24_C-band"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-2.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
AMC-21_(Americom_21)	United_Kingdom	USA	SES_World_Skies	Commercial	Communications		GEO		-124.86	"35,778"	"35,793"	1.78E-04	3	1436.1	"2,500"		"5,000"	2008/8/14	15_yrs.	Orbital_Sciences_Corp.	USA	Guiana_Space_Center	Ariane_5_ECA	2008-038B	33275	"Television_services_to_the_US,_Canada,_Mexico_and_Caribbean."		JM/12_08	http://www.orbital.com/NewsInfo/Publications/AMC-21_Fact.pdf	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/038B.HTM																																																																																																																																																																																																																															
"AMC-3_(Americom_3,_GE-3)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-86.96	"35,777"	"35,795"	2.13E-04	0.02	1436.08	"2,845"	"1,600"	"6,500_(EOL)"	1997/9/4	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Cape_Canaveral	Atlas_2AS	1997-050A	24936	"Broadcasting,_business,_cable;_CONUS,_Hawaii,_Caribbean,_southern_Canada;_24_Ku-_and_24_C-band"		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-3.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
"AMC-4_(Americom-4,_GE-4)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-100.99	"35,781"	"35,791"	1.19E-04	0.01	1436.1	"3,909"	"2,500"		1999/11/13	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Guiana_Space_Center	Ariane_44LP	1999-060A	25954	"Broadcasting,_cable,_internet;_CONUS,_Canada,_Mexico,_Caribbean,_Central_America,_South_America;_28_Ku-_and_24_C-band"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-4.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
"AMC-6_(Americom-6,_GE-6)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-71.98	"35,778"	"35,795"	2.02E-04	0.05	1436.12	"3,901"	"2,500"		2000/10/22	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Baikonur_Cosmodrome	Proton_K	2000-067A	26580	"Business_(government_and_VSAT),_media_and_entertainment;_28_Ku-_and_24_C-band;_CONUS,_Canada,_Mexico,_Caribbean,_Central_America"		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-6.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
"AMC-7_(Americom-7,_GE-7)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-136.94	"35,773"	"35,798"	2.97E-04	0.01	1436.08	"1,935"	912	"6,500_(EOL)"	2000/9/14	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Guiana_Space_Center	Ariane_5G	2000-054B	26495	"Cable_programming;_24_C-band;_CONUS,_Alaska,_Hawaii,_Caribbean"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-7.html	http://www.planet4589.org/space/jsr/back/news.435	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
"AMC-8_(Americom-8,_GE-8,_Aurora_3)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-139	"35,773"	"35,798"	2.97E-04	0.03	1436.07	"2,015"	919	"3,300"	2000/12/19	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Guiana_Space_Center	Ariane_5G	2000-081B	26639	"Cable_television_and_radio_programming;_24_C-band;_CONUS,_Alaska,_Hawaii,_Caribbean"		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://ses-americom.com/satellites/amc-8.html		http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
"AMC-9_(Americom_9,_GE-12)"	USA	USA	SES_World_Skies	Commercial	Communications		GEO		-82.95	"35,773"	"35,798"	2.97E-04	0.05	1436.08	"4,100"	"2,000"	"10,000"	2003/6/7	15+_yrs.	Alcatel_Space_Industries	France	Baikonur_Cosmodrome	Proton_K	2003-024A	27820	"Television_programmers,_government_agencies_and_enterprise_networks;_24_Ku-band;_CONUS_and_Mexico."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-9.html	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html#AMC-9	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
Amos_2_	NR	Israel	Israel_Aircraft_Industries	Military/Commercial	Communications		GEO		-3.98	"35,778"	"35,794"	1.90E-04	0.05	1436.08	"1,400"	646	"1,900_(EOL)"	2003/12/27	12_yrs.	Israel_Aircraft_Industries_(IAI)	Israel	Baikonur_Cosmodrome	Soyuz-Fregat_	2003-059A	28132	"Ku-band_communications,_Europe,_Middle_East,_East_Coast_of_USA."		JM/12_08	http://www.israeli-weapons.com/weapons/space/amos/AMOS_2.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx602.html	http://www.spacecom.co.il/amos2launch/amos2launch.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
Amos_3	NR	Israel	Space-Communication_Ltd	Military/Commercial	Communications		GEO		-3.99	"35,783"	"35,789"	7.12E-05	0.04	1436.1				2008/4/28	12_yrs.	Israel_Aircraft_Industries_(IAI)	Israel	Baikonur_Cosmodrome	Zenit_3SLB	2008-022A	32794	"15_transponders,_Ku_and_Ka_bands."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html	http://www.lib.cas.cz/space.40/2008/I021A.HTM	http://www.amos-spacecom.com/amos1/page.asp?newsid=4&type=6&lang=1&cat=68	"http://www.ynetnews.com/articles/0,7340,L-3536659,00.html"	http://www.amos-spacecom.com/newsite/page.asp?cat=45&type=4&lang=1																																																																																																																																																																																																																												
Amos_4	NR	Israel	Space-Communication_Ltd	Military/Commercial	Communications		GEO		65	"35,633"	"35,796"	1.94E-03	0.01	1432				2013/8/31	12_yrs.	Israel_Aircraft_Industries_(IAI)	Israel	Baikonur_Cosmodrome	Zenit_2SB	2013-045A	39237	"Full_range_of_satellite_services_for_Russia,_the_Middle_East_and_additional_service_areas._Suggested_Militarysurveillance_purpose_as_well."			http://www.redorbit.com/news/space/1112937144/launch-of-israel-amos-satellite-090213/	http://www.afcea.org/content/?q=node/2541	http://www.upi.com/Business_News/Security-Industry/2013/09/03/Israels-Amos-4-satellite-launch-boosts-space-plan/UPI-76151378231530/		http://www.richardsilverstein.com/2013/09/01/israel-launches-amos-4-satellite-with-secret-military-payload-for-spying-on-iran-syria/																																																																																																																																																																																																																												
Amos_5	NR	Israel	Space-Communication_Ltd	Military/Commercial	Communications		GEO		17	"35,595"	"36,007"	4.88E-03	0.09	1436.08	"1,600"			2011/12/11	15_yrs.	OAO_ISS	Russia	Baikonur_Cosmodrome	Proton_M	2011-074A	37950	"14_C-band,_18_Ku-band."		JM/1_12	http://www.amos-spacecom.com/content.cfm/amos-4	http://www.lib.cas.cz/space.40/2011/074A.HTM																																																																																																																																																																																																																															
